"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : CLog, MeanAbsProfileGap : 0.12947069195030875, StandardizedProfileGap : 1.2950819260139685, BHFlatShapeCorrelation : 0.16122689577557783}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : MeanLogShellSize, MeanAbsProfileGap : 0.22915148671438723, StandardizedProfileGap : 0.6879256953013425, BHFlatShapeCorrelation : 0.8480162130632601}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : MeanLogMultiplicityByShell, MeanAbsProfileGap : 0.3322379030576119, StandardizedProfileGap : 1.4135198380687548, BHFlatShapeCorrelation : -0.49626151039872785}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : Degree, MeanAbsProfileGap : 5.1423171182554155, StandardizedProfileGap : 1.1615923343961483, BHFlatShapeCorrelation : 0.2914639182176775}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : ClusteringCoefficient, MeanAbsProfileGap : 0.02240349062140305, StandardizedProfileGap : 0.5201636677679186, BHFlatShapeCorrelation : 0.838323607478097}"
"{Geometry : ReissnerNordstrom, Control : ReissnerNordstrom_matchedFlatOriginal, Diagnostic : CLog, MeanAbsProfileGap : 0.12852553635386604, StandardizedProfileGap : 1.2816654231078706, BHFlatShapeCorrelation : 0.16374296461649668}"
"{Geometry : ReissnerNordstrom, Control : ReissnerNordstrom_matchedFlatOriginal, Diagnostic : MeanLogShellSize, MeanAbsProfileGap : 0.2315440636394335, StandardizedProfileGap : 0.690399287970893, BHFlatShapeCorrelation : 0.8458240820297991}"
"{Geometry : ReissnerNordstrom, Control : ReissnerNordstrom_matchedFlatOriginal, Diagnostic : MeanLogMultiplicityByShell, MeanAbsProfileGap : 0.3446683533538226, StandardizedProfileGap : 1.403268432143852, BHFlatShapeCorrelation : -0.4892568470303193}"
"{Geometry : ReissnerNordstrom, Control : ReissnerNordstrom_matchedFlatOriginal, Diagnostic : Degree, MeanAbsProfileGap : 5.314753894438865, StandardizedProfileGap : 1.1554400083440748, BHFlatShapeCorrelation : 0.28454523431114914}"
"{Geometry : ReissnerNordstrom, Control : ReissnerNordstrom_matchedFlatOriginal, Diagnostic : ClusteringCoefficient, MeanAbsProfileGap : 0.023067276721345776, StandardizedProfileGap : 0.5326789090213182, BHFlatShapeCorrelation : 0.8346149304722782}"
"{Geometry : Bardeen, Control : Bardeen_matchedFlatOriginal, Diagnostic : CLog, MeanAbsProfileGap : 0.12849700317797305, StandardizedProfileGap : 1.2828427901884005, BHFlatShapeCorrelation : 0.16207264915031688}"
"{Geometry : Bardeen, Control : Bardeen_matchedFlatOriginal, Diagnostic : MeanLogShellSize, MeanAbsProfileGap : 0.23096078686224134, StandardizedProfileGap : 0.6890624597086837, BHFlatShapeCorrelation : 0.8453628381391788}"
"{Geometry : Bardeen, Control : Bardeen_matchedFlatOriginal, Diagnostic : MeanLogMultiplicityByShell, MeanAbsProfileGap : 0.34460082133153197, StandardizedProfileGap : 1.4053203741833205, BHFlatShapeCorrelation : -0.48935256150389356}"
"{Geometry : Bardeen, Control : Bardeen_matchedFlatOriginal, Diagnostic : Degree, MeanAbsProfileGap : 5.303162499874601, StandardizedProfileGap : 1.154332724729377, BHFlatShapeCorrelation : 0.2848118752439788}"
"{Geometry : Bardeen, Control : Bardeen_matchedFlatOriginal, Diagnostic : ClusteringCoefficient, MeanAbsProfileGap : 0.02297071226408613, StandardizedProfileGap : 0.5301439885296176, BHFlatShapeCorrelation : 0.8347809789415526}"
"{Geometry : Hayward, Control : Hayward_matchedFlatOriginal, Diagnostic : CLog, MeanAbsProfileGap : 0.12978192714195222, StandardizedProfileGap : 1.2867472389521737, BHFlatShapeCorrelation : 0.164761153803855}"
"{Geometry : Hayward, Control : Hayward_matchedFlatOriginal, Diagnostic : MeanLogShellSize, MeanAbsProfileGap : 0.230221809614207, StandardizedProfileGap : 0.6887246485685876, BHFlatShapeCorrelation : 0.8455325607549783}"
"{Geometry : Hayward, Control : Hayward_matchedFlatOriginal, Diagnostic : MeanLogMultiplicityByShell, MeanAbsProfileGap : 0.33716931185005183, StandardizedProfileGap : 1.4086915705720682, BHFlatShapeCorrelation : -0.4915403418401022}"
"{Geometry : Hayward, Control : Hayward_matchedFlatOriginal, Diagnostic : Degree, MeanAbsProfileGap : 5.21617990084497, StandardizedProfileGap : 1.15864221703639, BHFlatShapeCorrelation : 0.2870409205399694}"
"{Geometry : Hayward, Control : Hayward_matchedFlatOriginal, Diagnostic : ClusteringCoefficient, MeanAbsProfileGap : 0.022720960489333725, StandardizedProfileGap : 0.5256148992235711, BHFlatShapeCorrelation : 0.8359125215991937}"
