"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : CLog, BHCorrR : -0.9888132545829333, FlatCorrR : -0.2076672071633345, Gap : -0.7811460474195988, AbsGap : 0.7811460474195988, Protocol : originalMatchedFlatKNN}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : MeanLogShellSize, BHCorrR : -0.908591501284882, FlatCorrR : -0.5650051929874039, Gap : -0.34358630829747805, AbsGap : 0.34358630829747805, Protocol : originalMatchedFlatKNN}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : MeanLogMultiplicityByShell, BHCorrR : -0.9822188719947468, FlatCorrR : 0.5456805916191241, Gap : -1.527899463613871, AbsGap : 1.527899463613871, Protocol : originalMatchedFlatKNN}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : Degree, BHCorrR : -0.9493512752960229, FlatCorrR : -0.0629208315521949, Gap : -0.8864304437438281, AbsGap : 0.8864304437438281, Protocol : originalMatchedFlatKNN}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : ClusteringCoefficient, BHCorrR : 0.4778726966264458, FlatCorrR : 0.47554083633643157, Gap : 0.0023318602900142538, AbsGap : 0.0023318602900142538, Protocol : originalMatchedFlatKNN}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatStrictRadius, Diagnostic : CLog, BHCorrR : -0.9888132545829333, FlatCorrR : -0.9878358269665292, Gap : -0.0009774276164041806, AbsGap : 0.0009774276164041806, Protocol : strictRadiusMatchedFlat}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatStrictRadius, Diagnostic : MeanLogShellSize, BHCorrR : -0.908591501284882, FlatCorrR : -0.9196987919783062, Gap : 0.011107290693424199, AbsGap : 0.011107290693424199, Protocol : strictRadiusMatchedFlat}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatStrictRadius, Diagnostic : MeanLogMultiplicityByShell, BHCorrR : -0.9822188719947468, FlatCorrR : -0.9812734486114429, Gap : -0.0009454233833038339, AbsGap : 0.0009454233833038339, Protocol : strictRadiusMatchedFlat}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatStrictRadius, Diagnostic : Degree, BHCorrR : -0.9493512752960229, FlatCorrR : -0.9636440415225315, Gap : 0.014292766226508546, AbsGap : 0.014292766226508546, Protocol : strictRadiusMatchedFlat}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatStrictRadius, Diagnostic : ClusteringCoefficient, BHCorrR : 0.4778726966264458, FlatCorrR : 0.26904684445419763, Gap : 0.2088258521722482, AbsGap : 0.2088258521722482, Protocol : strictRadiusMatchedFlat}"
